country,country_code,year,birth_rate
Nigeria,NGA,1960,46.462
Nigeria,NGA,1961,46.554
Nigeria,NGA,1962,46.743
Nigeria,NGA,1963,46.759
Nigeria,NGA,1964,46.87
Nigeria,NGA,1965,46.898
Nigeria,NGA,1966,47.001
Nigeria,NGA,1967,47.064
Nigeria,NGA,1968,47.161
Nigeria,NGA,1969,47.261
Nigeria,NGA,1970,47.384
Nigeria,NGA,1971,47.765
Nigeria,NGA,1972,47.953
Nigeria,NGA,1973,48.194
Nigeria,NGA,1974,48.658
Nigeria,NGA,1975,49.009
Nigeria,NGA,1976,49.001
Nigeria,NGA,1977,49.115
Nigeria,NGA,1978,49.252
Nigeria,NGA,1979,48.797
Nigeria,NGA,1980,48.288
Nigeria,NGA,1981,47.858
Nigeria,NGA,1982,47.529
Nigeria,NGA,1983,47.529
Nigeria,NGA,1984,46.541
Nigeria,NGA,1985,45.899
Nigeria,NGA,1986,45.292
Nigeria,NGA,1987,44.848
Nigeria,NGA,1988,44.715
Nigeria,NGA,1989,44.79
Nigeria,NGA,1990,44.513
Nigeria,NGA,1991,44.321
Nigeria,NGA,1992,44.211
Nigeria,NGA,1993,44.109
Nigeria,NGA,1994,43.991
Nigeria,NGA,1995,44.079
Nigeria,NGA,1996,43.85
Nigeria,NGA,1997,43.509
Nigeria,NGA,1998,43.218
Nigeria,NGA,1999,43.447
Nigeria,NGA,2000,43.892
Nigeria,NGA,2001,43.934
Nigeria,NGA,2002,43.822
Nigeria,NGA,2003,43.71
Nigeria,NGA,2004,43.474
Nigeria,NGA,2005,43.37
Nigeria,NGA,2006,43.172
Nigeria,NGA,2007,42.897
Nigeria,NGA,2008,42.803
Nigeria,NGA,2009,42.497
Nigeria,NGA,2010,42.139
Nigeria,NGA,2011,41.793
Nigeria,NGA,2012,41.116
Nigeria,NGA,2013,40.441
Nigeria,NGA,2014,39.892
Nigeria,NGA,2015,38.951
Nigeria,NGA,2016,37.771
Nigeria,NGA,2017,36.693
Nigeria,NGA,2018,35.69
Nigeria,NGA,2019,34.685
Nigeria,NGA,2020,33.732
Nigeria,NGA,2021,33.546
Nigeria,NGA,2022,33.192
Nigeria,NGA,2023,32.954
Nigeria,NGA,2024,32.493
