country,country_code,year,birth_rate,male_population,female_population,male_to_female_rate,birth_rate_yearly_change
Nigeria,NGA,1960,46.462,22313789.0,22739993.0,98.12575140194633,
Nigeria,NGA,1961,46.554,22766543.0,23222767.0,98.03544513020348,0.09199999999999875
Nigeria,NGA,1962,46.743,23239705.0,23725587.0,97.95207595917437,0.18900000000000006
Nigeria,NGA,1963,46.759,23729344.0,24244231.0,97.87624940547713,0.015999999999998238
Nigeria,NGA,1964,46.87,24233650.0,24778366.0,97.80164680754172,0.1109999999999971
Nigeria,NGA,1965,46.898,24755924.0,25330840.0,97.73037135760204,0.028000000000005798
Nigeria,NGA,1966,47.001,25292522.0,25895712.0,97.67069544177815,0.10299999999999443
Nigeria,NGA,1967,47.064,25826799.0,26466266.0,97.58384125663969,0.06300000000000239
Nigeria,NGA,1968,47.161,26376302.0,27056481.0,97.48607736534548,0.09700000000000131
Nigeria,NGA,1969,47.261,26959389.0,27672525.0,97.42294568348932,0.10000000000000142
Nigeria,NGA,1970,47.384,27582518.0,28311320.0,97.42575761214948,0.12299999999999756
Nigeria,NGA,1971,47.765,28242380.0,28972304.0,97.48061458971299,0.3810000000000002
Nigeria,NGA,1972,47.953,28934186.0,29667562.0,97.52802067119637,0.1880000000000024
Nigeria,NGA,1973,48.194,29670840.0,30411299.0,97.56518457169489,0.24099999999999966
Nigeria,NGA,1974,48.658,30464271.0,31214873.0,97.59537064270613,0.46399999999999864
Nigeria,NGA,1975,49.009,31322584.0,32088231.0,97.61393203632821,0.3509999999999991
Nigeria,NGA,1976,49.001,32245348.0,33012661.0,97.67570084701745,-0.008000000000002672
Nigeria,NGA,1977,49.115,33241189.0,33993401.0,97.78718228282013,0.11400000000000432
Nigeria,NGA,1978,49.252,34294012.0,35032520.0,97.89193583561789,0.13700000000000045
Nigeria,NGA,1979,48.797,35385429.0,36112813.0,97.98580077381399,-0.4550000000000054
Nigeria,NGA,1980,48.288,36523047.0,37241594.0,98.07057936349341,-0.5090000000000003
Nigeria,NGA,1981,47.858,37678560.0,38389543.0,98.14797743229191,-0.4299999999999997
Nigeria,NGA,1982,47.529,38837114.0,39541587.0,98.21839978248723,-0.3289999999999935
Nigeria,NGA,1983,47.529,39871724.0,40566536.0,98.28722866551878,0.0
Nigeria,NGA,1984,46.541,40930376.0,41596067.0,98.39962994578309,-0.9880000000000067
Nigeria,NGA,1985,45.899,42134571.0,42763402.0,98.52951128630973,-0.6419999999999959
Nigeria,NGA,1986,45.292,43317413.0,43918540.0,98.6312682525421,-0.6069999999999993
Nigeria,NGA,1987,44.848,44512340.0,45079376.0,98.74213875542554,-0.4440000000000026
Nigeria,NGA,1988,44.715,45750128.0,46269962.0,98.87651950092373,-0.13299999999999557
Nigeria,NGA,1989,44.79,47033037.0,47497977.0,99.02113725811944,0.07499999999999574
Nigeria,NGA,1990,44.513,48360052.0,48760873.0,99.17798641546061,-0.277000000000001
Nigeria,NGA,1991,44.321,49685590.0,50034572.0,99.30251826676962,-0.19200000000000017
Nigeria,NGA,1992,44.211,51036577.0,51336193.0,99.41636498055085,-0.10999999999999943
Nigeria,NGA,1993,44.109,52438564.0,52683505.0,99.53507079682721,-0.10199999999999676
Nigeria,NGA,1994,43.991,53869707.0,54066007.0,99.63692528652986,-0.1180000000000021
Nigeria,NGA,1995,44.079,55334418.0,55485010.0,99.72858975784631,0.08800000000000097
Nigeria,NGA,1996,43.85,56822824.0,56931955.0,99.80831327503157,-0.2289999999999992
Nigeria,NGA,1997,43.509,58348813.0,58405979.0,99.90212303435578,-0.3410000000000011
Nigeria,NGA,1998,43.218,59932014.0,59914240.0,100.02966573555803,-0.2909999999999968
Nigeria,NGA,1999,43.447,61576698.0,61470622.0,100.17256373296499,0.2289999999999992
Nigeria,NGA,2000,43.892,63286567.0,63095927.0,100.30214311614758,0.4450000000000003
Nigeria,NGA,2001,43.934,65071982.0,64790613.0,100.43427432921494,0.041999999999994486
Nigeria,NGA,2002,43.822,66928846.0,66543143.0,100.57962846750416,-0.11199999999999477
Nigeria,NGA,2003,43.71,68848535.0,68354109.0,100.72333032678402,-0.11200000000000188
Nigeria,NGA,2004,43.474,70831452.0,70225593.0,100.86273247988096,-0.2360000000000042
Nigeria,NGA,2005,43.37,72861022.0,72156231.0,100.97675694840547,-0.1039999999999992
Nigeria,NGA,2006,43.172,74932868.0,74144466.0,101.06333222495661,-0.1980000000000004
Nigeria,NGA,2007,42.897,77070207.0,76197054.0,101.14591438141427,-0.2749999999999986
Nigeria,NGA,2008,42.803,79278457.0,78316557.0,101.22822048982567,-0.0940000000000012
Nigeria,NGA,2009,42.497,81552143.0,80497321.0,101.31038149704385,-0.3059999999999974
Nigeria,NGA,2010,42.139,83894725.0,82748161.0,101.38560662393452,-0.357999999999997
Nigeria,NGA,2011,41.793,86310441.0,85069157.0,101.45914693853145,-0.34600000000000364
Nigeria,NGA,2012,41.116,88770243.0,87430382.0,101.5324890150886,-0.6769999999999996
Nigeria,NGA,2013,40.441,91242930.0,89806513.0,101.59945749146277,-0.6749999999999972
